zip,fips,abbr
1001,25,MA
1002,25,MA
1002,25,MA
1003,25,MA
1005,25,MA
1007,25,MA
1008,25,MA
1009,25,MA
1010,25,MA
1011,25,MA
1011,25,MA
1012,25,MA
1013,25,MA
1020,25,MA
1022,25,MA
1026,25,MA
1027,25,MA
1028,25,MA
1029,25,MA
1030,25,MA
1031,25,MA
1032,25,MA
1033,25,MA
1034,25,MA
1035,25,MA
1036,25,MA
1037,25,MA
1038,25,MA
1039,25,MA
1039,25,MA
1040,25,MA
1050,25,MA
1050,25,MA
1053,25,MA
1054,25,MA
1056,25,MA
1057,25,MA
1060,25,MA
1062,25,MA
1063,25,MA
1066,25,MA
1068,25,MA
1069,25,MA
1070,25,MA
1071,25,MA
1072,25,MA
1073,25,MA
1074,25,MA
1075,25,MA
1077,25,MA
1079,25,MA
1080,25,MA
1081,25,MA
1082,25,MA
1082,25,MA
1083,25,MA
1084,25,MA
1085,25,MA
1086,25,MA
1088,25,MA
1089,25,MA
1092,25,MA
1093,25,MA
1094,25,MA
1095,25,MA
1096,25,MA
1097,25,MA
1098,25,MA
1103,25,MA
1104,25,MA
1105,25,MA
1106,25,MA
1107,25,MA
1108,25,MA
1109,25,MA
1118,25,MA
1119,25,MA
1128,25,MA
1129,25,MA
1151,25,MA
1201,25,MA
1220,25,MA
1222,25,MA
1223,25,MA
1224,25,MA
1225,25,MA
1226,25,MA
1229,25,MA
1230,25,MA
1235,25,MA
1236,25,MA
1237,25,MA
1238,25,MA
1240,25,MA
1242,25,MA
1243,25,MA
1244,25,MA
1245,25,MA
1247,25,MA
1253,25,MA
1254,25,MA
1255,25,MA
1256,25,MA
1257,25,MA
1258,25,MA
1259,25,MA
1260,25,MA
1262,25,MA
1264,25,MA
1266,25,MA
1267,25,MA
1270,25,MA
1301,25,MA
1330,25,MA
1331,25,MA
1337,25,MA
1338,25,MA
1339,25,MA
1340,25,MA
1341,25,MA
1342,25,MA
1343,25,MA
1344,25,MA
1346,25,MA
